b_column,a_plant,n_plants,a_units,n_units,cap_a_wankw,obs_max_b,ratio,confidence,is_residual,is_bucket,note
協和 (#1-#4)(萬瓩),協和發電廠,1,協三機|協四機,2,100.0,83.7,0.837,中,0,0,A僅協三/協四；#1#2已除役
氣渦輪(萬瓩),台中發電廠,1,GT#1|GT#2|GT#3|GT#4,4,28.0,37.5,1.339,低,1,1,B為全系統氣渦輪彙總，A只對到台中GT#1-4
德基(萬瓩),大甲溪發電廠,1,德基#1機|德基#2機|德基#3機,3,23.4,21.6,0.923,高,0,0,大甲溪分廠
青山(萬瓩),大甲溪發電廠,1,青山一機|青山二機|青山三機|青山四機,4,36.8,36.3,0.986,高,0,0,大甲溪分廠
谷關(萬瓩),大甲溪發電廠,1,谷關#1機|谷關#2機|谷關#3機|谷關#4機,4,21.78,20.4,0.937,高,0,0,大甲溪分廠
天輪(萬瓩),大甲溪發電廠,1,天輪#1機|天輪#2機|天輪#3機|天輪#4機|天輪#5機,5,19.5,19.1,0.979,高,0,0,大甲溪分廠
馬鞍(萬瓩),大甲溪發電廠,1,馬鞍#1機|馬鞍#2機,2,13.35,13.0,0.974,高,0,0,大甲溪分廠
大觀(萬瓩),大觀發電廠,1,大觀一廠#1機|大觀一廠#2機|大觀一廠#3機|大觀一廠#4機|大觀一廠#5機,5,11.0,10.1,0.918,高,0,0,大觀一廠
大觀二(萬瓩),大觀發電廠,1,大觀二廠#1機|大觀二廠#2機|大觀二廠#3機|大觀二廠#4機,4,100.0,83.1,0.831,高,0,0,大觀二廠(抽蓄)
明潭(萬瓩),明潭發電廠,1,明潭#1機|明潭#2機|明潭#3機|明潭#4機|明潭#5機|明潭#6機,6,160.2,117.6,0.734,高,0,0,抽蓄
鉅工(萬瓩),明潭發電廠,1,鉅工#1機|鉅工#2機,2,4.35,4.2,0.966,高,0,0,明潭分廠
水里(萬瓩),明潭發電廠,1,水里,1,1.27,1.0,0.784,高,0,0,明潭分廠
碧海(萬瓩),東部發電廠,1,碧海,1,6.12,6.0,0.98,高,0,0,東部分廠
立霧(萬瓩),東部發電廠,1,立霧#1機|立霧#2機,2,3.2,1.5,0.469,高,0,0,東部分廠
龍澗(萬瓩),東部發電廠,1,龍澗#1機|龍澗#2機,2,9.72,9.9,1.019,高,0,0,東部分廠
卓蘭(萬瓩),卓蘭發電廠,1,卓蘭#1機|卓蘭#2機,2,8.0,8.4,1.05,高,0,0,不含景山
萬大(萬瓩),萬大發電廠,1,萬大#1機|萬大#2機|萬大#3機|萬大#4機,4,5.57,4.0,0.718,高,0,0,不含松林
離島(萬瓩),尖山發電廠|塔山發電廠|協和電廠－珠山分廠,3,尖一機|尖二機|尖三機|尖四機|尖五機|尖六機|尖七機|尖八機|尖九機|尖十機|尖十一機|尖十二機|塔一機|塔二機|塔三機|塔四機|塔五機|塔六機|塔七機|塔八機|塔九機|塔十機|夏一機|夏二機|夏三機|夏四機|夏五機|夏六機|麒麟五機|麒麟六機|麒麟七機|麒麟八機|麒麟九機|珠一機|珠二機|珠三機|珠四機,37,25.85,18.4,0.712,高,0,1,地理定義彙總：澎湖+金門+馬祖三離島電廠
其他小水力(萬瓩),桂山發電廠|石門發電廠|卓蘭發電廠|萬大發電廠|明潭發電廠|大甲溪發電廠|曾文發電廠|高屏發電廠|東部發電廠|蘭陽發電廠,10,烏來#1機|烏來#2機|桂山#1機|桂山#2機|粗坑|翡翠|軟橋|石門#1機|石門#2機|義興|景山|松林#1機|松林#2機|濁水|北山|湖山|南岸二#1機|南岸二#2機|后里#1機|后里#2機|社寮|后里示範|曾文|六龜#1機|六龜#2機|竹門|龍溪|水簾|清水#1機|清水#2機|清水#3機|清流|銅門#1機|銅門#2機|銅門#3機|榕樹|初英|溪口|圓山#1機|圓山#2機|天埤#1機|天埤#2機|天埤#3機|天埤#4機,44,41.84,37.4,0.894,中,1,1,殘差彙總：全部水力扣除15個具名欄位後的剩餘；成分隨版本可能改變，不適合跨期比較
