電廠名稱,郵遞區號,地址-縣市鄉鎮,地址-村里,地址-街路門牌,連絡電話,傳真電話,機組名稱,商轉日期,裝置容量(瓩),燃料種類
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,中三機,19920626,550000,煤
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,中四機,19921004,550000,煤
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,中五機,19960329,550000,煤
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,中六機,19960504,550000,煤
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,中七機,19961017,550000,煤
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,中八機,19970627,550000,煤
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,中九機,20050801,550000,煤
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,中十機,20060630,550000,煤
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,GT#1,19900529,70000,輕柴油
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,GT#2,19900530,70000,輕柴油
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,GT#3,19900626,70000,輕柴油
台中發電廠,43401,台中市龍井區,,龍昌路1號,(04)26302123,(04)26398971,GT#4,19900619,70000,輕柴油
興達發電廠,82842,高雄市永安區,,興達路6號,(07)6912811,(07)6913849,興三機,19850619,550000,煤
興達發電廠,82842,高雄市永安區,,興達路6號,(07)6912811,(07)6913849,興四機,19860407,550000,煤
興達發電廠,82842,高雄市永安區,,興達路6號,(07)6912811,(07)6913849,興達複一機,19980426,445190,天然氣
興達發電廠,82842,高雄市永安區,,興達路6號,(07)6912811,(07)6913849,興達複二機,19980526,445190,天然氣
興達發電廠,82842,高雄市永安區,,興達路6號,(07)6912811,(07)6913849,興達複三機,19980629,445190,天然氣
興達發電廠,82842,高雄市永安區,,興達路6號,(07)6912811,(07)6913849,興達複四機,19980831,445190,天然氣
興達發電廠,82842,高雄市永安區,,興達路6號,(07)6912811,(07)6913849,興達複五機,19990116,445190,天然氣
南部發電廠,80661,高雄市前鎮區,,成功二路5號,(07)3367801,(07)3316387,南部複一機,19950912,288800,天然氣
南部發電廠,80661,高雄市前鎮區,,成功二路5號,(07)3367801,(07)3316387,南部複二機,19951128,288800,天然氣
南部發電廠,80661,高雄市前鎮區,,成功二路5號,(07)3367801,(07)3316387,南部複三機,19960917,288800,天然氣
南部發電廠,80661,高雄市前鎮區,,成功二路5號,(07)3367801,(07)3316387,南部複四機,20030630,251400,天然氣
大林發電廠,81263,高雄市小港區,鳳森里,大林路3號,(07)8711151,(07)8713760,大一機,20180213,800000,煤
大林發電廠,81263,高雄市小港區,鳳森里,大林路3號,(07)8711151,(07)8713760,大二機,20191024,800000,煤
大林發電廠,81263,高雄市小港區,鳳森里,大林路3號,(07)8711151,(07)8713760,大六機,19940911,550000,天然氣
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖一機,20001229,10443,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖二機,20001117,10443,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖三機,20001125,10443,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖四機,20010227,10443,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖五機,20020509,11000,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖六機,20020605,11000,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖七機,20020803,11000,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖八機,20020813,11000,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖九機,20021102,11000,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖十機,20021126,11000,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖十一機,20030129,11000,重油
尖山發電廠,88543,澎湖縣湖西鄉,尖山村,29之2號,(06)9920660,(06)9920670,尖十二機,20030119,11000,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,塔一機,20000701,7900,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,塔二機,20000723,7900,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,塔三機,20000927,7900,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,塔四機,20001028,7900,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,塔五機,20030324,8250,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,塔六機,20030330,8250,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,塔七機,20040227,8250,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,塔八機,20030127,8250,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,塔九機,20201023,11150,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,塔十機,20201023,11150,重油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,夏一機,19820720,3168,輕柴油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,夏二機,19820720,3168,輕柴油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,夏三機,19891117,3512,輕柴油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,夏四機,19930503,3488,輕柴油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,夏五機,19930503,3488,輕柴油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,夏六機,19930503,3488,輕柴油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,麒麟五機,19911115,1540,輕柴油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,麒麟六機,19911115,1540,輕柴油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,麒麟七機,20020129,1000,輕柴油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,麒麟八機,20020203,1000,輕柴油
塔山發電廠,89346,金門縣金城鎮,金水里,西海路一段2號,(082)323053,(082)323054,麒麟九機,20060823,1000,輕柴油
協和電廠－珠山分廠,20942,連江縣南竿鄉,清水村,99之9號,(0836)26300,(0836)26719,珠一機,20100322,3850,重油
協和電廠－珠山分廠,20942,連江縣南竿鄉,清水村,99之9號,(0836)26300,(0836)26719,珠二機,20100322,3850,重油
協和電廠－珠山分廠,20942,連江縣南竿鄉,清水村,99之9號,(0836)26300,(0836)26719,珠三機,20100322,3850,重油
協和電廠－珠山分廠,20942,連江縣南竿鄉,清水村,99之9號,(0836)26300,(0836)26719,珠四機,20100322,3850,重油
桂山發電廠,23160,新北市新店區,,桂山路37號,(02)26667223,(02)26667270,烏來#1機,195406,11250,水
桂山發電廠,23160,新北市新店區,,桂山路37號,(02)26667223,(02)26667270,烏來#2機,195012,11250,水
桂山發電廠,23160,新北市新店區,,桂山路37號,(02)26667223,(02)26667270,桂山#1機,195012,6500,水
桂山發電廠,23160,新北市新店區,,桂山路37號,(02)26667223,(02)26667270,桂山#2機,195012,6500,水
桂山發電廠,23160,新北市新店區,,桂山路37號,(02)26667223,(02)26667270,粗坑,19920731,5000,水
桂山發電廠,23160,新北市新店區,,桂山路37號,(02)26667223,(02)26667270,翡翠,19860828,70000,水
桂山發電廠,23160,新北市新店區,,桂山路37號,(02)26667223,(02)26667270,軟橋,19930130,220,水
石門發電廠,32547,桃園市龍潭鄉,大平村,石門寮,(03)4712020,(03)4711209,石門#1機,196401,45000,水
石門發電廠,32547,桃園市龍潭鄉,大平村,石門寮,(03)4712020,(03)4711209,石門#2機,196401,45000,水
石門發電廠,32547,桃園市龍潭鄉,大平村,石門寮,(03)4712020,(03)4711209,義興,19830715,40000,水
卓蘭發電廠,36943,苗栗縣卓蘭鎮,景山里,電廠一號,(04)25921293,(04)25921949,卓蘭#1機,20020130,40000,水
卓蘭發電廠,36943,苗栗縣卓蘭鎮,景山里,電廠一號,(04)25921293,(04)25921949,卓蘭#2機,20020606,40000,水
卓蘭發電廠,36943,苗栗縣卓蘭鎮,景山里,電廠一號,(04)25921293,(04)25921949,景山,20221001,4013,水
萬大發電廠,54651,南投縣仁愛鄉,親愛村,大安路1號,(049)2974166,(049)2974716,萬大#1機,195707,10350,水
萬大發電廠,54651,南投縣仁愛鄉,親愛村,大安路1號,(049)2974166,(049)2974716,萬大#2機,195707,10350,水
萬大發電廠,54651,南投縣仁愛鄉,親愛村,大安路1號,(049)2974166,(049)2974716,萬大#3機,194303,15300,水
萬大發電廠,54651,南投縣仁愛鄉,親愛村,大安路1號,(049)2974166,(049)2974716,萬大#4機,20120918,19700,水
萬大發電廠,54651,南投縣仁愛鄉,親愛村,大安路1號,(049)2974166,(049)2974716,松林#1機,20121227,18200,水
萬大發電廠,54651,南投縣仁愛鄉,親愛村,大安路1號,(049)2974166,(049)2974716,松林#2機,20121227,2700,水
大觀發電廠,55345,南投縣水里鄉,車埕村,明潭巷73號,(049)2774016,(049)2871130,大觀一廠#1機,193407,22000,水
大觀發電廠,55345,南投縣水里鄉,車埕村,明潭巷73號,(049)2774016,(049)2871130,大觀一廠#2機,193407,22000,水
大觀發電廠,55345,南投縣水里鄉,車埕村,明潭巷73號,(049)2774016,(049)2871130,大觀一廠#3機,193407,22000,水
大觀發電廠,55345,南投縣水里鄉,車埕村,明潭巷73號,(049)2774016,(049)2871130,大觀一廠#4機,193407,22000,水
大觀發電廠,55345,南投縣水里鄉,車埕村,明潭巷73號,(049)2774016,(049)2871130,大觀一廠#5機,193407,22000,水
大觀發電廠,55345,南投縣水里鄉,車埕村,明潭巷73號,(049)2774016,(049)2871130,大觀二廠#1機,198509,250000,水
大觀發電廠,55345,南投縣水里鄉,車埕村,明潭巷73號,(049)2774016,(049)2871130,大觀二廠#2機,198509,250000,水
大觀發電廠,55345,南投縣水里鄉,車埕村,明潭巷73號,(049)2774016,(049)2871130,大觀二廠#3機,198509,250000,水
大觀發電廠,55345,南投縣水里鄉,車埕村,明潭巷73號,(049)2774016,(049)2871130,大觀二廠#4機,198509,250000,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,明潭#1機,19940102,267000,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,明潭#2機,19950210,267000,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,明潭#3機,19940104,267000,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,明潭#4機,19950216,267000,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,明潭#5機,19931227,267000,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,明潭#6機,19940130,267000,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,水里,19920907,12750,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,鉅工#1機,193708,21750,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,鉅工#2機,193708,21750,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,濁水,20110301,3607,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,北山,19890719,4320,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,湖山,20230216,1935,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,南岸二#1機,20230627,1755,水
明潭發電廠,55345,南投縣水里鄉,車埕村,民權巷125號,(049)2776605,(049)2870952,南岸二#2機,20230627,1755,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,后里#1機,191207,475,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,后里#2機,191207,475,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,德基#1機,197406,78000,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,德基#2機,197406,78000,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,德基#3機,197406,78000,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,青山一機,20151229,92000,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,青山二機,20151229,92000,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,青山三機,20151229,92000,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,青山四機,20151229,92000,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,谷關#1機,20101022,54450,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,谷關#2機,20101022,54450,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,谷關#3機,20101022,54450,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,谷關#4機,20101022,54450,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,天輪#1機,195209,22500,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,天輪#2機,195209,22500,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,天輪#3機,195209,22500,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,天輪#4機,195209,22500,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,天輪#5機,19960430,105000,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,馬鞍#1機,19980720,66735,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,馬鞍#2機,19980930,66735,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,社寮,19941014,945,水
大甲溪發電廠,42441,台中市和平區,天輪里,東關路二段89-1號,(04)25941574,(04)25942491,后里示範,198606,110,水
曾文發電廠,71544,台南市楠西區,密枝里,133號,(06)5752034,(06)5751584,曾文,197307,50000,水
高屏發電廠,84304,高雄市美濃區,,竹門20號,(07)6851079,(07)6852335,六龜#1機,199405,2250,水
高屏發電廠,84304,高雄市美濃區,,竹門20號,(07)6851079,(07)6852335,六龜#2機,199405,2250,水
高屏發電廠,84304,高雄市美濃區,,竹門20號,(07)6851079,(07)6852335,竹門,20101004,2670,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,立霧#1機,194404,16000,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,立霧#2機,194404,16000,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,龍溪,19860427,4700,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,龍澗#1機,195906,48600,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,龍澗#2機,19840912,48600,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,水簾,19850430,9500,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,清水#1機,194103,2500,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,清水#2機,194103,2500,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,清水#3機,194103,2000,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,清流,19831227,4200,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,銅門#1機,195501,7000,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,銅門#2機,195501,7000,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,銅門#3機,195501,7000,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,榕樹,196701,2700,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,初英,194102,2000,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,溪口,196005,2700,水
東部發電廠,97053,花蓮市,,自由街136號,(03)8350161,(03)8355981,碧海,201212,61200,水
蘭陽發電廠,26605,宜蘭縣三星鄉,天山村,電力路25號,(03)9892317,(03)9893628,圓山#1機,194112,9000,水
蘭陽發電廠,26605,宜蘭縣三星鄉,天山村,電力路25號,(03)9892317,(03)9893628,圓山#2機,194112,9000,水
蘭陽發電廠,26605,宜蘭縣三星鄉,天山村,電力路25號,(03)9892317,(03)9893628,天埤#1機,192205,2125,水
蘭陽發電廠,26605,宜蘭縣三星鄉,天山村,電力路25號,(03)9892317,(03)9893628,天埤#2機,192205,2125,水
蘭陽發電廠,26605,宜蘭縣三星鄉,天山村,電力路25號,(03)9892317,(03)9893628,天埤#3機,192205,2125,水
蘭陽發電廠,26605,宜蘭縣三星鄉,天山村,電力路25號,(03)9892317,(03)9893628,天埤#4機,192205,2000,水
